Datensatz: 2000 Packungen
Theoretischer Mittelwert;1010 g
80;1011.3132
81;1009.7705
82;1022.5509
83;1019.3961
84;1007.2757
85;1010.1383
86;1002.1228
87;1008.6721
88;1005.6711
89;1011.3133
90;1013.1302
91;1010.5402
92;1014.9260
93;1011.7936
94;1005.3864
95;1010.6531
96;1000.7361
97;1012.1517
98;1008.2405
99;1011.7746
100;1009.7129
101;1010.6518
102;1008.1502
103;1005.1993
104;1006.4948
105;1003.8287
106;1012.7228
107;1008.4615
108;1009.8449
109;1009.2086
110;1006.8515
111;1017.5473
112;1009.2451
113;1016.6605
114;1010.7147
115;1001.8457
116;1005.4914
117;1011.7432
118;1012.2202
119;1009.6188
120;1013.7471
121;1013.2355
122;1012.0810
123;1010.7994
124;1014.3470
125;1004.4565
126;1010.0347
127;1004.3967
128;1014.4372
129;1009.1714
130;1003.9927
131;1008.3103
132;1004.4834
133;1005.8299
134;1008.7844
135;1012.9790
136;1013.4908
137;1007.6270
138;1013.0542
139;1007.3348
140;1000.7297
141;1009.6327
142;1014.5126
143;1012.4507
144;1011.4967
145;1004.1681
146;1010.0258
147;1015.3613
148;1012.1789
149;1010.6194
150;1012.9723
151;1005.9072
152;1011.5564
153;1000.8828
154;1009.6604
155;1012.4709
156;1010.1236
157;1005.5661
158;1018.8999
159;1013.8139
160;1004.6141
161;1008.3399
162;1006.2497
163;1012.3932
164;1004.5032
165;1014.0384
166;1012.2879
167;1015.2840
168;1014.8803
169;1012.9575
170;1004.3518
171;1007.3297
172;1015.2563
173;1014.9028
174;1010.1788
175;1008.7379
176;1015.6585
177;1006.4409
178;1009.3982
179;1000.7999
180;1012.5075
181;1013.0119
182;1004.0183
183;1008.1901
184;1004.8105
185;1015.9310
186;1005.6507
187;1014.5877
188;1011.6667
189;1008.3251
190;1011.1738
191;1009.2073
192;1000.5737
193;1008.2041
194;1002.9616
195;1008.6387
196;1013.9953
197;1010.3974
198;1010.3011
199;1000.5910
200;1003.9122
201;1011.1072
202;1009.1595
203;1011.8992
204;1014.0643
205;1008.5131
206;1015.8338
207;1010.0656
208;1003.4534
209;1006.0285
210;999.5843
211;1013.4606
212;1011.5655
213;1000.4202
214;1017.7034
215;1017.6203
216;1010.9531
217;1012.3535
218;1004.7440
219;1011.7515
220;1008.2182
221;1014.8515
222;1017.1910
223;1017.4507
224;1014.7431
225;1007.0437
226;1015.9032
227;1005.0523
228;1014.0400
229;1014.3473
230;1011.0696
231;1006.8096
232;1012.2468
233;1007.5856
234;1008.4972
235;1009.8923
236;998.3261
237;1009.3046
238;1015.5986
239;998.2863
240;1003.5875
241;1013.7651
242;1002.5832
243;1005.7818
244;1012.6531
245;1007.5805
246;1012.2988
247;1012.8058
248;1006.1753
249;1012.6130
250;1001.6958
251;1006.7404
252;1008.8395
253;1011.9907
254;1015.8601
255;1002.3554
256;1013.1922
257;1017.4708
258;1014.0134
259;1007.7227
260;1004.5477
261;1015.1648
262;1003.5331
263;1014.3052
264;1018.1362
265;1006.6286
266;1010.8412
267;1011.7100
268;1017.1274
269;1010.9921
270;1011.7711
271;1009.5047
272;1007.2244
273;1016.5318
274;1015.1198
275;1008.0241
276;1005.7726
277;1010.5148
278;1009.4823
279;1008.8414
280;1005.9384
281;1004.3870
282;1008.8293
283;1002.0967
284;1016.1933
285;1002.1875
286;1009.0800
287;1011.3972
288;1013.4331
289;1018.3793
290;997.5473
291;996.8017
292;1004.7738
293;1008.5395
294;1015.9229
295;1004.2266
296;1014.2553
297;1015.8327
298;1009.2267
299;1008.1746
300;1011.1928
301;1013.3096
302;1009.1142
303;1008.3655
304;997.9650
305;1004.0045
306;1023.5206
307;1001.3520
308;1005.3643
309;1016.7960
310;1008.0073
311;1013.0030
312;1012.4078
313;1009.9476
314;1010.8616
315;1009.2434
316;1009.8007
317;1015.2890
318;1012.0977
319;1008.2002
320;1015.4145
321;1012.3447
322;1009.7792
323;1014.7154
324;1006.7764
325;1003.4529
326;1018.6416
327;1009.5695
328;1009.2820
329;1012.4366
330;1005.9686
331;997.9289
332;1014.2891
333;1015.3770
334;1016.7497
335;1018.2474
336;1009.9251
337;1014.8608
338;1009.7939
339;1008.1487
340;1012.0696
341;1005.4885
342;1015.1610
343;1010.3497
344;1010.9174
345;1012.0252
346;1005.1487
347;1009.8316
348;1005.5691
349;1006.1747
350;1013.3549
351;1007.9235
352;1013.3181
353;1011.4922
354;1015.6867
355;1009.7077
356;1009.3415
357;1008.5650
358;1009.3325
359;1010.7269
360;1007.6691
361;1013.5631
362;1010.4348
363;1012.1866
364;1008.2282
365;1010.1752
366;1017.4019
367;1013.3122
368;1012.7492
369;1002.3694
370;1016.2423
371;1006.3249
372;1011.9545
373;1011.1391
374;1009.4504
375;1007.7160
376;1004.5627
377;1009.0860
378;1021.6704
379;1008.8506
380;1021.1773
381;1009.6060
382;1022.8101
383;1015.3827
384;1012.6618
385;1020.8652
386;1005.4137
387;1011.5416
388;1009.4597
389;1007.1035
390;1012.6157
391;1011.0699
392;1002.3379
393;1009.2515
394;1017.6771
395;998.5966
396;1020.0078
397;1004.6247
398;1015.7721
399;1005.3965
400;1014.2625
401;1002.8207
402;1014.5955
403;1011.0870
404;1007.3662
405;1005.3040
406;1015.9173
407;1011.1618
408;1003.6130
409;1021.2375
410;1014.5457
411;1012.9886
412;1013.2578
413;1010.9700
414;1009.9496
415;1017.5616
416;1007.6011
417;1014.0576
418;1016.1531
419;1012.5278
420;1010.0979
421;1008.4539
422;1015.7536
423;1022.8240
424;1005.6042
425;1014.1173
426;1014.5660
427;1016.8729
428;1020.1325
429;1007.2112
430;1012.6137
431;1013.7164
432;1005.5655
433;1014.5743
434;1010.2837
435;1009.9993
436;1008.9806
437;1012.6435
438;1017.7974
439;1003.2522
440;1010.1551
441;1009.7931
442;1011.0330
443;1012.4617
444;1015.8947
445;1016.0529
446;1005.3427
447;1010.3787
448;1004.4555
449;1008.8105
450;1013.5049
451;1021.4792
452;1008.0646
453;1001.7498
454;1013.1076
455;1015.3307
456;1007.5600
457;1002.8870
458;1006.5710
459;1008.0908
460;1007.9922
461;1006.4443
462;999.0373
463;1011.0235
464;1011.6117
465;1013.1405
466;1013.0742
467;1005.5016
468;1007.7303
469;1015.9651
470;1018.2681
471;1009.3739
472;1009.3468
473;1007.0931
474;1011.9157
475;1017.0139
476;1016.4437
477;1011.8956
478;1012.1325
479;1019.7313
480;1006.7526
481;1007.7975
482;1003.8628
483;1012.9215
484;1016.7888
485;1008.1448
486;1013.7008
487;1012.6236
488;1019.8701
489;1013.0137
490;1019.5101
491;1011.4342
492;1012.6855
493;1001.2955
494;1011.1593
495;1014.2619
496;1006.3238
497;1000.7775
498;1014.2993
499;1013.0390
500;1010.0083
501;1009.3324
502;1007.8604
503;1014.7969
504;1017.0189
505;1000.0453
506;1005.4217
507;1004.9235
508;1006.7473
509;1017.0988
510;1016.0527
511;1011.4633
512;1005.1928
513;1014.3068
514;1021.3455
515;1007.7090
516;1002.6646
517;1017.1274
518;1010.0878
519;1011.9349
520;1006.4011
521;1011.8217
522;1013.8233
523;1018.0416
524;1009.1498
525;1004.8370
526;1008.4280
527;1010.4712
528;1010.6885
529;1008.7689
530;1008.2990
531;1014.3529
532;1006.1496
533;1006.7565
534;1007.7941
535;1013.5632
536;999.8718
537;1009.5719
538;1008.9812
539;1008.8255
540;1015.9056
541;1002.0870
542;1012.2482
543;1014.6454
544;1014.8272
545;1007.4931
546;1008.2553
547;1006.6205
548;1013.4182
549;1013.8168
550;1013.6248
551;1014.3323
552;1008.7853
553;1008.5847
554;1007.2924
555;1000.7037
556;1012.9374
557;1010.4723
558;999.9192
559;1013.7508
560;1016.5460
561;998.1185
562;1014.2953
563;1008.0811
564;1015.4584
565;1013.1445
566;1019.0384
567;1015.2475
568;1007.0197
569;1005.7979
570;1012.3041
571;1010.4149
572;1009.9065
573;1006.8970
574;1012.5031
575;1017.8888
576;1012.4863
577;1008.5676
578;1002.4619
579;1006.1285
580;1024.1462
581;1007.2850
582;1013.9535
583;1006.6250
584;1012.4506
585;1014.4829
586;1009.0931
587;1009.9590
588;1015.5563
589;1016.8345
590;1015.9990
591;1008.5885
592;1009.1481
593;1011.9650
594;1012.4930
595;1015.6773
596;1012.0599
597;1005.1510
598;998.2456
599;1002.3271
600;1011.3137
601;1017.2810
602;1013.8016
603;1009.4192
604;1006.7863
605;1008.0401
606;1011.4451
607;1011.8023
608;1010.2108
609;1014.4347
610;1007.5464
611;1011.5180
612;1004.7398
613;1004.5232
614;999.3018
615;1007.8607
616;1013.0170
617;1005.4258
618;1011.9060
619;1016.0296
620;1003.1485
621;1018.2001
622;1012.7749
623;1017.0683
624;1014.5112
625;1008.1794
626;1009.2583
627;1015.3161
628;1004.4517
629;1009.6923
630;1016.8366
631;1010.7467
632;1004.0214
633;1013.8076
634;1012.7417
635;1008.7927
636;1007.1740
637;1003.6418
638;1017.2646
639;1018.5169
640;1015.0799
641;1011.4892
642;1014.4743
643;1008.1058
644;1012.9590
645;1008.8019
646;1016.0688
647;1004.8344
648;1010.3871
649;1004.4066
650;1009.2147
651;1013.5209
652;1014.3305
653;1004.3356
654;1004.4265
655;1007.4198
656;1001.6956
657;1010.9127
658;1003.1962
659;1006.6604
660;1007.4906
661;1011.6314
662;1014.8090
663;1002.3908
664;1019.9965
665;1012.2090
666;1010.2037
667;1002.2633
668;1014.1562
669;1006.9510
670;1010.5555
671;1003.2549
672;1015.8770
673;1010.4453
674;1013.9998
675;1008.5886
676;1009.8357
677;1014.9117
678;1011.6528
679;1016.8496
680;1013.9695
681;1013.6031
682;1008.4230
683;1012.7092
684;1017.1127
685;1007.5782
686;1004.5643
687;1015.8791
688;1021.9306
689;1008.4639
690;1008.0926
691;1008.4923
692;1015.5629
693;995.3337
694;1017.5014
695;1003.4951
696;1009.8148
697;1011.6665
698;1010.9341
699;1022.5182
700;1010.0388
701;1004.7357
702;1005.4589
703;1014.5535
704;1006.0212
705;1008.2345
706;1003.5318
707;1014.9426
708;1013.1679
709;999.6603
710;1008.4691
711;1004.4345
712;1007.0043
713;1011.9390
714;1005.9910
715;1011.5757
716;1013.6687
717;1008.8684
718;1013.9165
719;1011.8720
720;1012.8914
721;1012.1408
722;1015.3099
723;1005.7590
724;1000.9999
725;1002.3125
726;1002.8768
727;1005.9300
728;1007.2320
729;1006.9480
730;1007.2653
731;1010.3982
732;1000.8918
733;1009.5642
734;1004.1724
735;1010.6546
736;1012.2790
737;1015.6432
738;1004.2578
739;1011.8531
740;1014.7595
741;1004.3881
742;1012.8999
743;1004.1444
744;1006.2449
745;1009.2054
746;1012.3412
747;1013.0031
748;1016.5181
749;1016.1205
750;1008.5179
751;1008.4085
752;1010.0873
753;1012.0459
754;1005.0945
755;1011.6212
756;1013.5998
757;1016.0483
758;1011.9350
759;1014.0731
760;1016.0856
761;1008.3961
762;1011.8750
763;1004.0415
764;1003.8203
765;1015.1047
766;1015.8702
767;1018.2480
768;1006.8301
769;1010.6063
770;1004.0240
771;1004.0664
772;1017.7070
773;1001.1208
774;1014.6404
775;1008.3678
776;1010.2684
777;1002.3778
778;1003.2486
779;1009.2578
780;1009.3664
781;1003.8007
782;1012.6612
783;1007.3760
784;1009.3618
785;1001.4384
786;998.6044
787;1015.7683
788;1015.0789
789;1015.5728
790;1001.4334
791;1009.1475
792;1012.9737
793;1015.2678
794;1009.7241
795;1010.4612
796;1005.1351
797;1010.1381
798;997.9119
799;1008.8649
800;1011.9012
801;1021.6001
802;1010.2906
803;1010.0592
804;1001.3463
805;1006.1572
806;1001.7499
807;1011.0545
808;1009.6010
809;1025.2066
810;1006.5390
811;1013.6999
812;1011.0035
813;1006.6735
814;1002.9655
815;1018.7040
816;1014.7851
817;1007.2118
818;1015.5025
819;1002.3839
820;1014.7062
821;1020.4165
822;1012.9512
823;1015.6658
824;1013.4076
825;1001.9760
826;1012.1667
827;1007.9353
828;1020.8633
829;999.3543
830;1011.6336
831;1014.2445
832;1009.2390
833;1007.6542
834;1008.1705
835;1004.1283
836;1007.7882
837;1005.3040
838;1005.4511
839;1006.1683
840;1012.8942
841;1009.6415
842;1008.0722
843;1012.3527
844;1012.7096
845;1020.1673
846;1009.2447
847;1007.5757
848;1014.9181
849;1009.7977
850;1015.2055
851;1011.0807
852;1015.5905
853;1010.0582
854;1007.4034
855;1012.3674
856;1007.8026
857;1016.6943
858;1015.4078
859;1008.1311
860;1018.2382
861;1006.7207
862;1011.4088
863;1006.7020
864;1005.6384
865;1009.6291
866;1002.5348
867;1011.5674
868;1012.0446
869;1016.3292
870;1012.5064
871;1018.3347
872;1018.9893
873;1006.8232
874;1011.3720
875;1013.8460
876;1009.2926
877;1005.4530
878;1003.4463
879;1002.3940
880;1017.7338
881;1018.0521
882;1003.6318
883;1021.9606
884;1012.9547
885;1007.9994
886;1018.2345
887;1009.4402
888;1003.8348
889;1011.0343
890;1015.6396
891;1000.7780
892;1008.6788
893;1004.8830
894;1006.9007
895;1005.3489
896;1011.4937
897;1004.4293
898;1006.9581
899;1010.0825
900;1003.3752
901;1008.6484
902;1007.2898
903;1005.8722
904;1003.7618
905;1005.1131
906;1013.1491
907;1011.6172
908;1006.7945
909;1002.9561
910;1010.9560
911;1008.2157
912;1020.5751
913;1011.4139
914;1007.0233
915;1001.7654
916;1013.6054
917;1010.8107
918;1015.8310
919;1005.8365
920;1017.5002
921;1017.8704
922;1006.2029
923;1004.7250
924;1011.7745
925;1011.6840
926;1017.6243
927;1014.2907
928;1013.5720
929;1009.5013
930;1006.1812
931;1009.6625
932;1014.1034
933;1010.1046
934;1011.3466
935;1007.6078
936;1015.5284
937;1023.5384
938;1009.5813
939;1002.5980
940;1016.3624
941;1015.7321
942;1013.8151
943;1009.7636
944;1015.9973
945;1007.2432
946;1008.4629
947;1017.9978
948;1007.0817
949;1012.3039
950;1007.9431
951;1007.7302
952;1015.6710
953;1013.3708
954;1003.8651
955;1016.8200
956;1005.8876
957;1013.0027
958;1007.5972
959;1007.1079
960;1012.3547
961;1018.5934
962;1013.4577
963;1012.7290
964;1011.4068
965;1017.6712
966;1001.0199
967;1001.1510
968;1009.3140
969;1006.6292
970;1013.0328
971;1010.8865
972;1019.4945
973;1009.0652
974;1000.8441
975;1007.6941
976;1009.4250
977;1003.3765
978;1007.8738
979;1010.4358
980;1007.1848
981;1004.8077
982;1022.2000
983;1009.4369
984;1008.8855
985;1016.1110
986;1007.1959
987;1009.6922
988;1018.7634
989;1016.7095
990;1016.1005
991;1012.6087
992;997.7702
993;1005.3281
994;993.8484
995;1006.8073
996;1006.4405
997;1004.8732
998;1012.2124
999;1010.8560
1000;1011.5558
1001;1001.4992
1002;1010.1633
1003;1003.1944
1004;1015.4226
1005;1007.9292
1006;1024.9129
1007;1007.0774
1008;1010.7835
1009;1012.8725
1010;997.5823
1011;1009.1782
1012;1011.6710
1013;1007.6131
1014;1012.4165
1015;1001.4733
1016;1005.5506
1017;1014.5307
1018;1016.2119
1019;1011.0088
1020;1012.8057
1021;1012.6534
1022;1013.2488
1023;1014.9953
1024;1011.5954
1025;1007.1648
1026;1012.0308
1027;999.2174
1028;1016.5309
1029;1015.9906
1030;1006.8506
1031;997.8259
1032;1011.9881
1033;1006.4370
1034;1014.8986
1035;1011.5749
1036;1011.3811
1037;1015.3024
1038;1006.2015
1039;1005.0136
1040;1008.5780
1041;1012.4130
1042;1002.2655
1043;1011.8141
1044;996.7531
1045;1015.7094
1046;1005.9560
1047;1009.8150
1048;1011.2261
1049;1013.5125
1050;1008.9851
1051;1010.2789
1052;1011.3319
1053;1014.2184
1054;1009.2537
1055;1013.9343
1056;1005.9384
1057;1010.9232
1058;1003.5626
1059;1013.6881
1060;1013.3874
1061;1013.2877
1062;1008.6586
1063;1017.9522
1064;1014.6329
1065;1013.3146
1066;1009.0660
1067;1016.2505
1068;1010.6551
1069;1006.8990
1070;1006.2122
1071;1004.8458
1072;1007.4316
1073;1015.1604
1074;1012.0104
1075;1016.8336
1076;1009.7582
1077;1010.6929
1078;1012.1216
1079;1011.4779
1080;1006.4416
1081;1009.0304
1082;1004.7291
1083;1011.1567
1084;1005.4063
1085;1009.2620
1086;1002.1782
1087;1019.9152
1088;1004.6464
1089;1012.6078
1090;1017.3702
1091;1005.8173
1092;1006.7818
1093;1010.8817
1094;1010.4201
1095;1010.0005
1096;1014.8957
1097;1009.2932
1098;1012.5667
1099;1003.7811
1100;1013.6004
1101;1004.3592
1102;1012.2085
1103;1000.0655
1104;1005.9841
1105;1002.6789
1106;1014.1362
1107;1009.3108
1108;1008.6698
1109;1009.7921
1110;1002.7313
1111;1010.3639
1112;1013.0847
1113;1007.9772
1114;1005.1503
1115;1011.2750
1116;1016.9347
1117;1015.3899
1118;1013.4275
1119;1016.3509
1120;1009.5230
1121;1019.6343
1122;1013.2194
1123;1014.3616
1124;1007.4387
1125;1005.4881
1126;1011.9148
1127;1011.7204
1128;1007.4646
1129;1007.3034
1130;1010.8219
1131;1015.3083
1132;1010.0319
1133;1005.9291
1134;1016.7827
1135;1011.6249
1136;1006.2358
1137;1010.4398
1138;1008.8582
1139;1013.2672
1140;1002.2477
1141;1010.1855
1142;1017.3592
1143;1004.7125
1144;1013.7569
1145;1010.8645
1146;1019.2005
1147;1005.2715
1148;1002.1672
1149;1011.2117
1150;1010.7681
1151;1017.2571
1152;1011.2440
1153;1010.5124
1154;1014.3650
1155;1008.1685
1156;1007.8178
1157;1007.6608
1158;1010.2867
1159;1006.4106
1160;1010.3553
1161;1009.9011
1162;1009.2945
1163;1008.3117
1164;1012.7131
1165;1008.3486
1166;1014.2103
1167;1015.9433
1168;1014.7042
1169;1018.1426
1170;1003.8547
1171;1006.9216
1172;1006.7726
1173;1012.2241
1174;1008.6094
1175;1017.5919
1176;1019.9929
1177;1010.8096
1178;1008.9443
1179;1003.4484
1180;1012.4167
1181;1000.8122
1182;1010.5445
1183;1012.8010
1184;1010.3187
1185;999.9403
1186;1000.0432
1187;1012.5280
1188;1013.0622
1189;1014.4681
1190;1010.9272
1191;1014.6446
1192;1012.8240
1193;1001.7171
1194;1002.6506
1195;1013.4684
1196;1018.2187
1197;1017.4124
1198;1008.7978
1199;1013.8482
1200;1010.9309
1201;1002.0280
1202;1006.5528
1203;1004.3356
1204;1009.0386
1205;998.3665
1206;1006.9087
1207;1015.2860
1208;1016.3155
1209;1020.4728
1210;1014.5989
1211;1013.4637
1212;1008.8012
1213;1012.8628
1214;1008.1903
1215;1012.2457
1216;1010.3356
1217;1009.9079
1218;1015.7244
1219;1008.5320
1220;1010.9719
1221;1014.1345
1222;1010.3921
1223;1015.4987
1224;1015.3853
1225;1002.7135
1226;1024.2689
1227;1009.4237
1228;1020.7707
1229;1010.6684
1230;1014.9276
1231;1007.4767
1232;1009.1015
1233;1001.7222
1234;1006.9425
1235;1008.2704
1236;1015.6026
1237;1001.4286
1238;1008.2278
1239;1013.7746
1240;1015.0785
1241;1015.2973
1242;1015.3011
1243;1003.1248
1244;1000.5151
1245;1006.8352
1246;1011.9742
1247;1011.7929
1248;1007.9529
1249;1020.1474
1250;1006.3048
1251;1008.9102
1252;1015.1700
1253;1008.4188
1254;1008.4949
1255;1000.0569
1256;1003.9938
1257;1008.0619
1258;1017.4396
1259;1011.0183
1260;1007.0918
1261;1010.4419
1262;1006.1407
1263;1001.6351
1264;1012.2693
1265;1014.7739
1266;1010.8573
1267;1004.6726
1268;1011.9275
1269;1006.2521
1270;1013.1591
1271;1005.0708
1272;1011.3997
1273;1007.1211
1274;1008.7911
1275;1007.4650
1276;1009.9470
1277;1018.1893
1278;1009.2059
1279;1011.8649
1280;1009.5979
1281;1014.2638
1282;1007.1077
1283;999.8038
1284;1013.1592
1285;1012.0311
1286;1008.6211
1287;1012.0554
1288;1014.8741
1289;1016.8615
1290;1018.1367
1291;1002.3768
1292;1016.9186
1293;1004.1531
1294;1004.1657
1295;1013.2170
1296;1013.4754
1297;1007.0052
1298;1003.6790
1299;1016.8650
1300;1006.1303
1301;1009.7131
1302;1013.5830
1303;1015.7026
1304;1007.1019
1305;1017.4765
1306;1004.2998
1307;1005.8761
1308;1009.7096
1309;1009.1515
1310;1003.0007
1311;1012.9782
1312;998.6617
1313;1006.3682
1314;1004.8526
1315;1011.7576
1316;1006.2740
1317;1008.4833
1318;1014.2644
1319;1007.6405
1320;1018.2228
1321;1011.9395
1322;1016.2937
1323;1011.8372
1324;1008.6807
1325;1006.0636
1326;1010.9259
1327;1012.9158
1328;1014.0122
1329;1017.4695
1330;1024.3870
1331;1010.7381
1332;1015.4259
1333;1009.8684
1334;1014.9981
1335;998.8343
1336;1016.4492
1337;1015.5010
1338;1012.4614
1339;1014.1925
1340;1009.4246
1341;1007.0037
1342;1011.9101
1343;998.7681
1344;1007.4139
1345;1012.2288
1346;1013.6295
1347;1006.2942
1348;1013.6173
1349;1008.0051
1350;1006.1777
1351;1005.3122
1352;1022.6197
1353;1004.8675
1354;1001.2169
1355;1004.1338
1356;1017.2296
1357;1006.1284
1358;1007.9332
1359;1000.2042
1360;1005.3037
1361;1016.8372
1362;1002.0884
1363;1018.4394
1364;1024.0051
1365;1011.0215
1366;1000.9695
1367;1003.4563
1368;1005.8334
1369;997.6416
1370;1008.3221
1371;1017.4950
1372;1009.4786
1373;1008.3190
1374;1009.6068
1375;1005.5367
1376;1013.1977
1377;1008.5295
1378;1012.3811
1379;1014.9757
1380;1011.7730
1381;1017.7599
1382;1019.1845
1383;1014.1451
1384;1008.9824
1385;1009.7937
1386;1017.1234
1387;1010.8409
1388;1014.9722
1389;1009.2194
1390;1014.3888
1391;1010.9687
1392;1001.6036
1393;1000.3082
1394;1007.0108
1395;1010.3102
1396;1006.3973
1397;1015.2165
1398;1012.1412
1399;1012.3903
1400;1006.7087
1401;1009.8963
1402;1002.0843
1403;1004.2840
1404;1012.1029
1405;1010.9747
1406;1007.5456
1407;1007.5857
1408;1007.8514
1409;1011.4525
1410;999.8610
1411;1009.6306
1412;1000.2076
1413;1007.5804
1414;1007.6317
1415;1001.8646
1416;1010.0260
1417;1016.7014
1418;1010.9093
1419;1007.6465
1420;1006.1097
1421;1017.3396
1422;1007.3427
1423;1009.3944
1424;1005.2509
1425;1005.4226
1426;1014.8599
1427;1018.4911
1428;1012.0844
1429;1007.3314
1430;1009.7760
1431;1006.2615
1432;1006.2773
1433;1007.2776
1434;1016.0744
1435;1008.1301
1436;1003.1695
1437;1017.7194
1438;1015.9850
1439;1012.2472
1440;1008.3496
1441;1014.6994
1442;997.7017
1443;1012.1906
1444;1004.8978
1445;1009.6161
1446;1001.8707
1447;1011.0616
1448;1008.6413
1449;1011.9803
1450;1012.5240
1451;1005.6931
1452;1011.1909
1453;1015.6013
1454;1013.2876
1455;1012.7853
1456;1007.0963
1457;1009.9374
1458;1012.6768
1459;1008.5817
1460;1008.3926
1461;1008.7203
1462;1016.6552
1463;1012.7666
1464;1011.2244
1465;1002.2422
1466;1011.9197
1467;1011.3557
1468;1015.4167
1469;1011.7027
1470;1012.2273
1471;998.1605
1472;1015.4085
1473;1013.1635
1474;1008.1555
1475;1008.8953
1476;1010.9502
1477;1008.7779
1478;1012.9270
1479;1012.9824
1480;1010.7579
1481;1011.8786
1482;1010.3906
1483;1012.6887
1484;1006.8385
1485;1012.1628
1486;1006.7781
1487;1015.2655
1488;1008.8382
1489;1011.9791
1490;1005.6561
1491;1010.0545
1492;1004.3920
1493;1005.4139
1494;1006.3771
1495;1011.5778
1496;1003.5357
1497;1008.7067
1498;1014.7629
1499;1008.4354
1500;1020.5488
1501;1006.7411
1502;1020.0676
1503;1007.5480
1504;1010.9311
1505;1010.4348
1506;1021.1697
1507;1010.4704
1508;1005.7805
1509;1000.5438
1510;1007.4744
1511;1015.2522
1512;1003.6770
1513;1013.1444
1514;1008.1780
1515;1014.9861
1516;1017.0571
1517;1007.2967
1518;1003.1296
1519;1008.7329
1520;1008.8448
1521;1006.6433
1522;1004.0075
1523;1010.5971
1524;1019.2985
1525;1006.1233
1526;1006.6241
1527;1012.4980
1528;1016.1151
1529;1009.2438
1530;1002.1616
